Entity,,Year,Annual CO₂ emissions (tonnes ),
Afghanistan,,2000,768195.25,
Afghanistan,,2001,812074.37,
Afghanistan,,2002,1064074.85,
Afghanistan,,2003,1187070.59,
Afghanistan,,2004,941455.62,
Afghanistan,,2005,1320250.12,
Africa,,2000,884531577,
Africa,,2001,879118731,
Africa,,2002,884151839,
Africa,,2003,961971968,
Africa,,2004,1033091840,
Africa,,2005,1044075215,
Albania,,2000,3019136,
Albania,,2001,3220656,
Albania,,2002,3748272,
Albania,,2003,4290544,
Albania,,2004,4162304,
Albania,,2005,4250240,
Algeria,,2000,87442682.8,
Algeria,,2001,83780673.6,
Algeria,,2002,89406721.2,
Algeria,,2003,91048193.5,
Algeria,,2004,87853102.5,
Algeria,,2005,106473190,
Americas (other),,2000,1907022738,
Americas (other),,2001,1930495800,
Americas (other),,2002,1952855792,
Americas (other),,2003,2003975573,
Americas (other),,2004,2011917498,
Americas (other),,2005,2076950414,
Andorra,,2000,523952,
Andorra,,2001,523952,
Andorra,,2002,531280,
Andorra,,2003,534944,
Andorra,,2004,560592,
Andorra,,2005,575248,
Angola,,2000,9515060.92,
Angola,,2001,9671518.88,
Angola,,2002,12597545.1,
Angola,,2003,8988367.85,
Angola,,2004,18701931.7,
Angola,,2005,19006429.6,
Anguilla,,2000,87936,
Anguilla,,2001,95264,
Anguilla,,2002,95264,
Anguilla,,2003,102592,
Anguilla,,2004,120912,
Anguilla,,2005,128240,
Antarctic Fisheries,,2000,3664,
Antarctic Fisheries,,2001,3664,
Antarctic Fisheries,,2002,3664,
Antarctic Fisheries,,2003,3664,
Antarctic Fisheries,,2004,7328,
Antarctic Fisheries,,2005,7328,
Antigua and Barbuda,,2000,344416,
Antigua and Barbuda,,2001,348080,
Antigua and Barbuda,,2002,370064,
Antigua and Barbuda,,2003,403040,
Antigua and Barbuda,,2004,421360,
Antigua and Barbuda,,2005,428688,
Argentina,,2000,141716804,
Argentina,,2001,133310610,
Argentina,,2002,124382214,
Argentina,,2003,134620660,
Argentina,,2004,157033639,
Argentina,,2005,161424779,
Armenia,,2000,3491410,
Armenia,,2001,3532700,
Armenia,,2002,3076608,
Armenia,,2003,3455562,
Armenia,,2004,3691194,
Armenia,,2005,4379830,
Aruba,,2000,2377936,
Aruba,,2001,2407248,
Aruba,,2002,2436560,
Aruba,,2003,2561136,
Aruba,,2004,2616096,
Aruba,,2005,2718688,
Asia and Pacific (other),,2000,3679214015,
Asia and Pacific (other),,2001,3747595981,
Asia and Pacific (other),,2002,3867734095,
Asia and Pacific (other),,2003,3970646033,
Asia and Pacific (other),,2004,4098304122,
Asia and Pacific (other),,2005,4138394375,
Australia,,2000,350194582,
Australia,,2001,357668743,
Australia,,2002,362209094,
Australia,,2003,369725835,
Australia,,2004,383204945,
Australia,,2005,386515212,
Austria,,2000,66261743.1,
Austria,,2001,70390857.4,
Austria,,2002,72146538.2,
Austria,,2003,77764249.2,
Austria,,2004,78052546,
Austria,,2005,79366679.9,
Azerbaijan,,2000,29506320,
Azerbaijan,,2001,28792679.7,
Azerbaijan,,2002,29641849.5,
Azerbaijan,,2003,30626721.5,
Azerbaijan,,2004,32078155.4,
Azerbaijan,,2005,34286420,
Bahamas,,2000,1667120,
Bahamas,,2001,1568192,
Bahamas,,2002,1575520,
Bahamas,,2003,1516896,
Bahamas,,2004,1722080,
Bahamas,,2005,1740400,
Bahrain,,2000,18617914.7,
Bahrain,,2001,13905337.5,
Bahrain,,2002,15677178.2,
Bahrain,,2003,16437202.6,
Bahrain,,2004,17439106.3,
Bahrain,,2005,19132508.9,
Bangladesh,,2000,27504891.5,
Bangladesh,,2001,31943866.4,
Bangladesh,,2002,33185370.3,
Bangladesh,,2003,35140640.3,
Bangladesh,,2004,37161862.2,
Bangladesh,,2005,38915897.9,
Barbados,,2000,1168034.46,
Barbados,,2001,1201291.93,
Barbados,,2002,1203804.94,
Barbados,,2003,1241370.49,
Barbados,,2004,1266009.42,
Barbados,,2005,1322333.83,
Belarus,,2000,55458034.9,
Belarus,,2001,55560330.2,
Belarus,,2002,55677156.7,
Belarus,,2003,57112286.6,
Belarus,,2004,60767191.5,
Belarus,,2005,62049394.4,
Belgium,,2000,126794789,
Belgium,,2001,126129006,
Belgium,,2002,126444626,
Belgium,,2003,127953185,
Belgium,,2004,129040883,
Belgium,,2005,125638202,
Belize,,2000,395712,
Belize,,2001,447008,
Belize,,2002,432352,
Belize,,2003,432352,
Belize,,2004,392048,
Belize,,2005,421360,
Benin,,2000,1573997.31,
Benin,,2001,1789772.5,
Benin,,2002,2053179.7,
Benin,,2003,2327578.89,
