Entity,,Year,Annual CO₂ emissions (tonnes )
Afghanistan,,2017,13014739.66
Africa,,2017,1331739959
Albania,,2017,6379207
Algeria,,2017,150551376.6
Americas (other),,2017,2398632318
Andorra,,2017,520183.81
Angola,,2017,35389928.27
Anguilla,,2017,152045.24
Antigua and Barbuda,,2017,565296.4
Argentina,,2017,204323434.8
Armenia,,2017,5656391.74
Aruba,,2017,927865.82
Asia and Pacific (other),,2017,5071156099
Australia,,2017,413092654.5
Austria,,2017,69941755.62
Azerbaijan,,2017,38209717.67
Bahamas,,2017,2564350.48
Bahrain,,2017,34455693.49
Bangladesh,,2017,88057460.51
Barbados,,2017,1322714.99
Belarus,,2017,61371792.7
Belgium,,2017,100116011.9
Belize,,2017,560826.57
Benin,,2017,7502064.86
Bermuda,,2017,612079.55
Bhutan,,2017,1166358.05
Bolivia,,2017,20885176.38
Bonaire Sint Eustatius and Saba,,2017,343076.44
Bosnia and Herzegovina,,2017,26646890.71
Botswana,,2017,7874985.93
Brazil,,2017,476066778.3
British Virgin Islands,,2017,191031.2
Brunei,,2017,10226872.63
Bulgaria,,2017,49071233.14
Burkina Faso,,2017,3334981.27
Burundi,,2017,529139.54
Cambodia,,2017,7938274.63
Cameroon,,2017,7687196.41
Canada,,2017,572782585.8
Cape Verde,,2017,599978.31
Central African Republic,,2017,310733.67
Chad,,2017,728707.55
Chile,,2017,84603249.72
China,,2017,9838754028
Colombia,,2017,81226821.7
Comoros,,2017,189481.66
Republic of the Congo,,2017,3409725
Cook Islands,,2017,82045.41
Costa Rica,,2017,8695008.05
Cote d'Ivoire,,2017,11724407.8
Croatia,,2017,17181602.46
Cuba,,2017,36504161.92
Curacao,,2017,6253347.78
Cyprus,,2017,7514687.44
Czech Republic,,2017,107895755.7
Democratic Republic of Republic of the Congo,,2017,4813669.88
Denmark,,2017,34550121.09
Djibouti,,2017,817008.26
Dominica,,2017,144248.05
Dominican Republic,,2017,21268776.28
EU-28,,2017,3543683484
Ecuador,,2017,38797288.26
Egypt,,2017,218664377.5
El Salvador,,2017,6992023.78
Equatorial Guinea,,2017,6714892.14
Eritrea,,2017,793048.38
Estonia,,2017,19809264.03
Ethiopia,,2017,13396240.84
Europe (other),,2017,2149072913
Faeroe Islands,,2017,672936.2
Fiji,,2017,1344386.66
Finland,,2017,45956044.16
France,,2017,356300651.2
French Polynesia,,2017,945681.27
Gabon,,2017,5526426.56
Gambia,,2017,622190.04
Georgia,,2017,10951724.17
Germany,,2017,799373210.9
Ghana,,2017,16764833.13
Greece,,2017,76000360.87
Greenland,,2017,569725.13
Grenada,,2017,276228.01
Guatemala,,2017,20878046.7
Guinea,,2017,2904678.09
Guinea-Bissau,,2017,331331.31
Guyana,,2017,2076572.3
Haiti,,2017,2997931.37
Honduras,,2017,10669096.28
Hong Kong,,2017,43032580.1
Hungary,,2017,50344705.47
Iceland,,2017,3480027.14
India,,2017,2466765373
Indonesia,,2017,486843756.2
International transport,,2017,1155307739
Iran,,2017,672312342.6
Iraq,,2017,194454630
Ireland,,2017,39738353.97
Israel,,2017,66553411.6
Italy,,2017,355454172.2
Jamaica,,2017,7772649.41
Japan,,2017,1205061178
Jordan,,2017,21356744.61
Kazakhstan,,2017,292588516.6
Kenya,,2017,15818219.83
Kiribati,,2017,73409.05
